business_name,phone_e164,city,category,demo_url,message
222 Plumbing & Heating Ltd.,+17788780433,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/222-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Abbotsford businesses & built 222 Plumbing & Heating Ltd. a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/222-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
FAIRMONT PLUMBING & HEATING LTD,+16049616752,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/fairmont-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Abbotsford businesses & built FAIRMONT PLUMBING & HEATING LTD a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/fairmont-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Phoenix Flow Solutions,+16048661648,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/phoenix-flow-solutions/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Phoenix Flow Solutions a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/phoenix-flow-solutions/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Chhokar plumbing&heating ltd,+17787233322,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/chhokar-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Chhokar plumbing&heating ltd a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/chhokar-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Assa Mechanical,+16725882610,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/assa-mechanical/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Assa Mechanical a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/assa-mechanical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
A&J Plumbing Heating Ltd,+16048972266,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/a-j-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Abbotsford businesses & built A&J Plumbing Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/a-j-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Revive Mechanical BC,+17788914356,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/revive-mechanical-bc/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Revive Mechanical BC a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/revive-mechanical-bc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Braun Plumbing & Heating,+16048526125,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/braun-plumbing-heating/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Braun Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/braun-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Healthy Home Services,+17785527838,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/healthy-home-services/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Healthy Home Services a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/healthy-home-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Homeland Mechanical Inc,+16048704982,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/homeland-mechanical-inc/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Homeland Mechanical Inc a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/homeland-mechanical-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
