business_name,phone_e164,city,category,demo_url,message
Comar Electrical Services Ltd,+16049417646,Richmond,Electrician,https://jaggyai.github.io/bc-demos/richmond/electricians/comar-electrical-services-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Comar Electrical Services Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/electricians/comar-electrical-services-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
604 Installs,+17787793773,Richmond,Security system installation service,https://jaggyai.github.io/bc-demos/richmond/electricians/604-installs/,"Hi, it's Jag - I build websites for Richmond businesses & built 604 Installs a free demo: https://jaggyai.github.io/bc-demos/richmond/electricians/604-installs/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Colin's Auto Electric Ltd,+16043221800,Richmond,Auto electrical service,https://jaggyai.github.io/bc-demos/richmond/electricians/colins-auto-electric-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Colin's Auto Electric Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/electricians/colins-auto-electric-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Hollandia Concrete Ltd,+16042400517,Richmond,Concrete contractor,https://jaggyai.github.io/bc-demos/richmond/concrete/hollandia-concrete-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Hollandia Concrete Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/concrete/hollandia-concrete-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
DTM Contracting,+17786287420,Richmond,Road construction company,https://jaggyai.github.io/bc-demos/richmond/excavating/dtm-contracting/,"Hi, it's Jag - I build websites for Richmond businesses & built DTM Contracting a free demo: https://jaggyai.github.io/bc-demos/richmond/excavating/dtm-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
peacelive construction LTD,+17788333361,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/peacelive-construction-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built peacelive construction LTD a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/peacelive-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
MGL Construction Inc,+16047155037,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/mgl-construction-inc/,"Hi, it's Jag - I build websites for Richmond businesses & built MGL Construction Inc a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/mgl-construction-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Marpole Drywall Ltd,+16042413995,Richmond,Dry wall contractor,https://jaggyai.github.io/bc-demos/richmond/drywall/marpole-drywall-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Marpole Drywall Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/drywall/marpole-drywall-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Warrior Contracting,+17788292751,Richmond,General contractor,https://jaggyai.github.io/bc-demos/richmond/contractors/warrior-contracting/,"Hi, it's Jag - I build websites for Richmond businesses & built Warrior Contracting a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/warrior-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Peak Concrete Design Ltd,+16046181783,Richmond,Concrete contractor,https://jaggyai.github.io/bc-demos/richmond/concrete/peak-concrete-design-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Peak Concrete Design Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/concrete/peak-concrete-design-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Talisman Homes Ltd,+16042753088,Richmond,Real estate developer,https://jaggyai.github.io/bc-demos/richmond/real-estate/talisman-homes-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Talisman Homes Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/real-estate/talisman-homes-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Skyhigh Constructions,+17787612541,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/skyhigh-constructions/,"Hi, it's Jag - I build websites for Richmond businesses & built Skyhigh Constructions a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/skyhigh-constructions/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Mitchell Project Management & Construction,+16049240009,Richmond,General contractor,https://jaggyai.github.io/bc-demos/richmond/contractors/mitchell-project-management-construction/,"Hi, it's Jag - I build websites for Richmond businesses & built Mitchell Project Management & Construction a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/mitchell-project-management-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Malimalihomes,+16047229195,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/malimalihomes/,"Hi, it's Jag - I build websites for Richmond businesses & built Malimalihomes a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/malimalihomes/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
BC Asbestos Services LTD,+16042757477,Richmond,Home builder,https://jaggyai.github.io/bc-demos/richmond/contractors/bc-asbestos-services-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built BC Asbestos Services LTD a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/bc-asbestos-services-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Brain Fusion Designs,+17787515148,Richmond,Interior designer,https://jaggyai.github.io/bc-demos/richmond/interior-design/brain-fusion-designs/,"Hi, it's Jag - I build websites for Richmond businesses & built Brain Fusion Designs a free demo: https://jaggyai.github.io/bc-demos/richmond/interior-design/brain-fusion-designs/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Johnstons Quality Contracting ltd,+17783890091,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/johnstons-quality-contracting-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Johnstons Quality Contracting ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/johnstons-quality-contracting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
S&R Management Inc.,+16048418832,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/s-r-management-inc/,"Hi, it's Jag - I build websites for Richmond businesses & built S&R Management Inc. a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/s-r-management-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Ali Renovation Services,+17786975786,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/ali-renovation-services/,"Hi, it's Jag - I build websites for Richmond businesses & built Ali Renovation Services a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/ali-renovation-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Power Drywall Ltd,+16042140195,Richmond,Dry wall contractor,https://jaggyai.github.io/bc-demos/richmond/drywall/power-drywall-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Power Drywall Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/drywall/power-drywall-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
A&O Contracting Ltd.,+16049680915,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/a-o-contracting-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built A&O Contracting Ltd. a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/a-o-contracting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Stonique Masonry &landscaping,+12368858270,Richmond,Masonry contractor,https://jaggyai.github.io/bc-demos/richmond/concrete/stonique-masonry-landscaping/,"Hi, it's Jag - I build websites for Richmond businesses & built Stonique Masonry &landscaping a free demo: https://jaggyai.github.io/bc-demos/richmond/concrete/stonique-masonry-landscaping/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Emkor Construction Ltd,+17787120808,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/emkor-construction-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Emkor Construction Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/emkor-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Two Brothers construction Ltd,+16044048621,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/two-brothers-construction-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Two Brothers construction Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/two-brothers-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Rain Coast Construction,+17783849096,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/rain-coast-construction/,"Hi, it's Jag - I build websites for Richmond businesses & built Rain Coast Construction a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/rain-coast-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Fairchild Developments Ltd,+16042731234,Richmond,Real estate developer,https://jaggyai.github.io/bc-demos/richmond/real-estate/fairchild-developments-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Fairchild Developments Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/real-estate/fairchild-developments-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
