business_name,phone_e164,city,category,demo_url,message
Navkul Rebuild Ltd,+16047493606,Prince George,Construction company,https://jaggyai.github.io/bc-demos/prince-george/contractors/navkul-rebuild-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Navkul Rebuild Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/navkul-rebuild-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Big Well Drilling,+12509636747,Prince George,Well drilling contractor,https://jaggyai.github.io/bc-demos/prince-george/excavating/big-well-drilling/,"Hi, it's Jag - I build websites for Prince George businesses & built Big Well Drilling a free demo: https://jaggyai.github.io/bc-demos/prince-george/excavating/big-well-drilling/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Fall-It Tree Services,+12506405880,Prince George,Tree service,https://jaggyai.github.io/bc-demos/prince-george/landscapers/fall-it-tree-services/,"Hi, it's Jag - I build websites for Prince George businesses & built Fall-It Tree Services a free demo: https://jaggyai.github.io/bc-demos/prince-george/landscapers/fall-it-tree-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Interior Lawn & Landscape,+17786380205,Prince George,Landscape designer,https://jaggyai.github.io/bc-demos/prince-george/landscapers/interior-lawn-landscape/,"Hi, it's Jag - I build websites for Prince George businesses & built Interior Lawn & Landscape a free demo: https://jaggyai.github.io/bc-demos/prince-george/landscapers/interior-lawn-landscape/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Chilako Polymers,+12503200203,Prince George,Concrete contractor,https://jaggyai.github.io/bc-demos/prince-george/concrete/chilako-polymers/,"Hi, it's Jag - I build websites for Prince George businesses & built Chilako Polymers a free demo: https://jaggyai.github.io/bc-demos/prince-george/concrete/chilako-polymers/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
King Brothers Logging,+12509640059,Prince George,Logging contractor,https://jaggyai.github.io/bc-demos/prince-george/excavating/king-brothers-logging/,"Hi, it's Jag - I build websites for Prince George businesses & built King Brothers Logging a free demo: https://jaggyai.github.io/bc-demos/prince-george/excavating/king-brothers-logging/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Polar Ventures Ltd.,+12509813576,Prince George,Excavating contractor,https://jaggyai.github.io/bc-demos/prince-george/excavating/polar-ventures-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Polar Ventures Ltd. a free demo: https://jaggyai.github.io/bc-demos/prince-george/excavating/polar-ventures-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
North Star Electric Inc,+12506498650,Prince George,General contractor,https://jaggyai.github.io/bc-demos/prince-george/contractors/north-star-electric-inc/,"Hi, it's Jag - I build websites for Prince George businesses & built North Star Electric Inc a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/north-star-electric-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Taylor & Taylor Contracting,+12505643288,Prince George,Logging contractor,https://jaggyai.github.io/bc-demos/prince-george/excavating/taylor-taylor-contracting/,"Hi, it's Jag - I build websites for Prince George businesses & built Taylor & Taylor Contracting a free demo: https://jaggyai.github.io/bc-demos/prince-george/excavating/taylor-taylor-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Daves Flooring,+12506138823,Prince George,Flooring contractor,https://jaggyai.github.io/bc-demos/prince-george/flooring/daves-flooring/,"Hi, it's Jag - I build websites for Prince George businesses & built Daves Flooring a free demo: https://jaggyai.github.io/bc-demos/prince-george/flooring/daves-flooring/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Western Acres Prince George,+12506140136,Prince George,Modular home builder,https://jaggyai.github.io/bc-demos/prince-george/contractors/western-acres-prince-george/,"Hi, it's Jag - I build websites for Prince George businesses & built Western Acres Prince George a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/western-acres-prince-george/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
