business_name,phone_e164,city,category,demo_url,message
Jecklin Contracting,+12506181054,Nanaimo,Flooring contractor,https://jaggyai.github.io/bc-demos/nanaimo/flooring/jecklin-contracting/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Jecklin Contracting a free demo: https://jaggyai.github.io/bc-demos/nanaimo/flooring/jecklin-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Pine Ridge Drywall,+12507584162,Nanaimo,Dry wall contractor,https://jaggyai.github.io/bc-demos/nanaimo/drywall/pine-ridge-drywall/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Pine Ridge Drywall a free demo: https://jaggyai.github.io/bc-demos/nanaimo/drywall/pine-ridge-drywall/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Nored Developments Inc,+12503905055,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/nored-developments-inc/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Nored Developments Inc a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/nored-developments-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Insight Project Office Studio,+12507560131,Nanaimo,Real estate developer,https://jaggyai.github.io/bc-demos/nanaimo/real-estate/insight-project-office-studio/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Insight Project Office Studio a free demo: https://jaggyai.github.io/bc-demos/nanaimo/real-estate/insight-project-office-studio/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Fred's Trucking & Excavating,+12507583043,Nanaimo,Excavating contractor,https://jaggyai.github.io/bc-demos/nanaimo/excavating/freds-trucking-excavating/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Fred's Trucking & Excavating a free demo: https://jaggyai.github.io/bc-demos/nanaimo/excavating/freds-trucking-excavating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Jeffrey Contracting Ltd,+12507533066,Nanaimo,Concrete contractor,https://jaggyai.github.io/bc-demos/nanaimo/concrete/jeffrey-contracting-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Jeffrey Contracting Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/concrete/jeffrey-contracting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
F P Landry & Sons Svc,+12507169314,Nanaimo,Excavating contractor,https://jaggyai.github.io/bc-demos/nanaimo/excavating/f-p-landry-sons-svc/,"Hi, it's Jag - I build websites for Nanaimo businesses & built F P Landry & Sons Svc a free demo: https://jaggyai.github.io/bc-demos/nanaimo/excavating/f-p-landry-sons-svc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Rockridge Industrial Svc,+12507534470,Nanaimo,Demolition contractor,https://jaggyai.github.io/bc-demos/nanaimo/excavating/rockridge-industrial-svc/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Rockridge Industrial Svc a free demo: https://jaggyai.github.io/bc-demos/nanaimo/excavating/rockridge-industrial-svc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Bobcat Excavating,+12502012118,Nanaimo,Excavating contractor,https://jaggyai.github.io/bc-demos/nanaimo/excavating/bobcat-excavating/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Bobcat Excavating a free demo: https://jaggyai.github.io/bc-demos/nanaimo/excavating/bobcat-excavating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Adams Truck N Hoe Service,+12506197998,Nanaimo,Excavating contractor,https://jaggyai.github.io/bc-demos/nanaimo/excavating/adams-truck-n-hoe-service/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Adams Truck N Hoe Service a free demo: https://jaggyai.github.io/bc-demos/nanaimo/excavating/adams-truck-n-hoe-service/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
