business_name,phone_e164,city,category,demo_url,message
Kelowna Lite Kast,+12504918425,Kelowna,Dry wall contractor,https://jaggyai.github.io/bc-demos/kelowna/drywall/kelowna-lite-kast/,"Hi, it's Jag - I build websites for Kelowna businesses & built Kelowna Lite Kast a free demo: https://jaggyai.github.io/bc-demos/kelowna/drywall/kelowna-lite-kast/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
85Flooring,+12506893620,Kelowna,Flooring contractor,https://jaggyai.github.io/bc-demos/kelowna/flooring/85flooring/,"Hi, it's Jag - I build websites for Kelowna businesses & built 85Flooring a free demo: https://jaggyai.github.io/bc-demos/kelowna/flooring/85flooring/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Okanagan Valley Concrete,+17784801044,Kelowna,Concrete contractor,https://jaggyai.github.io/bc-demos/kelowna/concrete/okanagan-valley-concrete/,"Hi, it's Jag - I build websites for Kelowna businesses & built Okanagan Valley Concrete a free demo: https://jaggyai.github.io/bc-demos/kelowna/concrete/okanagan-valley-concrete/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
4Rise Framing,+16047237002,Kelowna,Construction company,https://jaggyai.github.io/bc-demos/kelowna/contractors/4rise-framing/,"Hi, it's Jag - I build websites for Kelowna businesses & built 4Rise Framing a free demo: https://jaggyai.github.io/bc-demos/kelowna/contractors/4rise-framing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Kelowna Insulation Services Ltd.,+12508782596,Kelowna,Insulation contractor,https://jaggyai.github.io/bc-demos/kelowna/drywall/kelowna-insulation-services-ltd/,"Hi, it's Jag - I build websites for Kelowna businesses & built Kelowna Insulation Services Ltd. a free demo: https://jaggyai.github.io/bc-demos/kelowna/drywall/kelowna-insulation-services-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Pitura Enterprises Ltd,+12507650331,Kelowna,Excavating contractor,https://jaggyai.github.io/bc-demos/kelowna/excavating/pitura-enterprises-ltd/,"Hi, it's Jag - I build websites for Kelowna businesses & built Pitura Enterprises Ltd a free demo: https://jaggyai.github.io/bc-demos/kelowna/excavating/pitura-enterprises-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Insul-West Distributors Ltd,+12508072551,Kelowna,Insulation contractor,https://jaggyai.github.io/bc-demos/kelowna/drywall/insul-west-distributors-ltd/,"Hi, it's Jag - I build websites for Kelowna businesses & built Insul-West Distributors Ltd a free demo: https://jaggyai.github.io/bc-demos/kelowna/drywall/insul-west-distributors-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Kelowna Friction Fit Insulation,+12507657770,Kelowna,Insulation contractor,https://jaggyai.github.io/bc-demos/kelowna/drywall/kelowna-friction-fit-insulation/,"Hi, it's Jag - I build websites for Kelowna businesses & built Kelowna Friction Fit Insulation a free demo: https://jaggyai.github.io/bc-demos/kelowna/drywall/kelowna-friction-fit-insulation/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Pro-Crete Ltd,+12507652350,Kelowna,Concrete contractor,https://jaggyai.github.io/bc-demos/kelowna/concrete/pro-crete-ltd/,"Hi, it's Jag - I build websites for Kelowna businesses & built Pro-Crete Ltd a free demo: https://jaggyai.github.io/bc-demos/kelowna/concrete/pro-crete-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Vesta Dynamics Inc,+12508016449,Kelowna,HVAC contractor,https://jaggyai.github.io/bc-demos/kelowna/hvac/vesta-dynamics-inc/,"Hi, it's Jag - I build websites for Kelowna businesses & built Vesta Dynamics Inc a free demo: https://jaggyai.github.io/bc-demos/kelowna/hvac/vesta-dynamics-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Lutz Consulting & Contracting,+12508606735,Kelowna,General contractor,https://jaggyai.github.io/bc-demos/kelowna/contractors/lutz-consulting-contracting/,"Hi, it's Jag - I build websites for Kelowna businesses & built Lutz Consulting & Contracting a free demo: https://jaggyai.github.io/bc-demos/kelowna/contractors/lutz-consulting-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Drew’s Pools,+17789984420,Kelowna,Swimming pool contractor,https://jaggyai.github.io/bc-demos/kelowna/contractors/drew-s-pools/,"Hi, it's Jag - I build websites for Kelowna businesses & built Drew’s Pools a free demo: https://jaggyai.github.io/bc-demos/kelowna/contractors/drew-s-pools/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
CRS Tomnor HVAC Refrigeration & Controls,+17784848975,Kelowna,HVAC contractor,https://jaggyai.github.io/bc-demos/kelowna/hvac/crs-tomnor-hvac-refrigeration-controls/,"Hi, it's Jag - I build websites for Kelowna businesses & built CRS Tomnor HVAC Refrigeration & Controls a free demo: https://jaggyai.github.io/bc-demos/kelowna/hvac/crs-tomnor-hvac-refrigeration-controls/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Butler & Butler Tile Setting,+12507655000,Kelowna,Tile contractor,https://jaggyai.github.io/bc-demos/kelowna/flooring/butler-butler-tile-setting/,"Hi, it's Jag - I build websites for Kelowna businesses & built Butler & Butler Tile Setting a free demo: https://jaggyai.github.io/bc-demos/kelowna/flooring/butler-butler-tile-setting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
D & G Mechanical Ltd,+12507654422,Kelowna,Mechanical contractor,https://jaggyai.github.io/bc-demos/kelowna/hvac/d-g-mechanical-ltd/,"Hi, it's Jag - I build websites for Kelowna businesses & built D & G Mechanical Ltd a free demo: https://jaggyai.github.io/bc-demos/kelowna/hvac/d-g-mechanical-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
CCG Group - Classic Closets and Glass,+17787210956,Kelowna,Glass shop,https://jaggyai.github.io/bc-demos/kelowna/fence-deck/ccg-group-classic-closets-and-glass/,"Hi, it's Jag - I build websites for Kelowna businesses & built CCG Group - Classic Closets and Glass a free demo: https://jaggyai.github.io/bc-demos/kelowna/fence-deck/ccg-group-classic-closets-and-glass/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Trend Tiles LTD.,+16044429811,Kelowna,Tile contractor,https://jaggyai.github.io/bc-demos/kelowna/flooring/trend-tiles-ltd/,"Hi, it's Jag - I build websites for Kelowna businesses & built Trend Tiles LTD. a free demo: https://jaggyai.github.io/bc-demos/kelowna/flooring/trend-tiles-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
ClimateWorX Refrigeration Inc.,+12508783369,Kelowna,HVAC contractor,https://jaggyai.github.io/bc-demos/kelowna/hvac/climateworx-refrigeration-inc/,"Hi, it's Jag - I build websites for Kelowna businesses & built ClimateWorX Refrigeration Inc. a free demo: https://jaggyai.github.io/bc-demos/kelowna/hvac/climateworx-refrigeration-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
F A Dobbin & Sons Ltd,+12507637077,Kelowna,General contractor,https://jaggyai.github.io/bc-demos/kelowna/contractors/f-a-dobbin-sons-ltd/,"Hi, it's Jag - I build websites for Kelowna businesses & built F A Dobbin & Sons Ltd a free demo: https://jaggyai.github.io/bc-demos/kelowna/contractors/f-a-dobbin-sons-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Waystar Construction,+12508782047,Kelowna,Construction company,https://jaggyai.github.io/bc-demos/kelowna/contractors/waystar-construction/,"Hi, it's Jag - I build websites for Kelowna businesses & built Waystar Construction a free demo: https://jaggyai.github.io/bc-demos/kelowna/contractors/waystar-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Brian Tostenson Construction,+12508613816,Kelowna,Excavating contractor,https://jaggyai.github.io/bc-demos/kelowna/excavating/brian-tostenson-construction/,"Hi, it's Jag - I build websites for Kelowna businesses & built Brian Tostenson Construction a free demo: https://jaggyai.github.io/bc-demos/kelowna/excavating/brian-tostenson-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
willfixit,+17783637178,Kelowna,General contractor,https://jaggyai.github.io/bc-demos/kelowna/contractors/willfixit/,"Hi, it's Jag - I build websites for Kelowna businesses & built willfixit a free demo: https://jaggyai.github.io/bc-demos/kelowna/contractors/willfixit/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Metro Plastering Ltd,+12508603535,Kelowna,Stucco contractor,https://jaggyai.github.io/bc-demos/kelowna/drywall/metro-plastering-ltd/,"Hi, it's Jag - I build websites for Kelowna businesses & built Metro Plastering Ltd a free demo: https://jaggyai.github.io/bc-demos/kelowna/drywall/metro-plastering-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Alron Wall Systems Inc,+12502154747,Kelowna,Stucco contractor,https://jaggyai.github.io/bc-demos/kelowna/drywall/alron-wall-systems-inc/,"Hi, it's Jag - I build websites for Kelowna businesses & built Alron Wall Systems Inc a free demo: https://jaggyai.github.io/bc-demos/kelowna/drywall/alron-wall-systems-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
